id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1572571346055225344,1572571346055225344,2022-09-21 13:00:00 UTC,2022-09-21,13:00:00,+0000,1565577765499580416,tresno081,Tresno08,,Dengan RUU PDP disahkan tidak akan ada lagi tangisan rakyat pinjol atau doxing Puan Lindungi Datapribadi  https://t.co/18EU6hy8nJ  https://t.co/tCzk1XLUWZ,in,[],['https://www.jpnn.com/news/ruu-pdp-disahkan-dpr-di-bawah-kepemimpinan-puan-mendapat-apresiasi'],['https://pbs.twimg.com/media/FdLgHsvacAILPAA.jpg'],0,0,0,[],[],https://twitter.com/Tresno081/status/1572571346055225344,False,,1,https://pbs.twimg.com/media/FdLgHsvacAILPAA.jpg,,,,,,,[],,,,
1572571344809639936,1572571344809639936,2022-09-21 13:00:00 UTC,2022-09-21,13:00:00,+0000,1334510027126812676,shainingstaer,shining,,"Dengan pengesahan RUU PDP ini data pribadi kita bisa terlindungi dari segala bentuk kejahatan di era digital, seperti Pinjol ilegal atau Doxing. Puan Lindungi Datapribadi  https://t.co/Mb2IqWALmf  https://t.co/hY0cyQhlNy",in,[],['https://www.jpnn.com/news/ruu-pdp-disahkan-dpr-di-bawah-kepemimpinan-puan-mendapat-apresiasi'],['https://pbs.twimg.com/media/FdLWV12aUAIrMxj.jpg'],0,0,0,[],[],https://twitter.com/shainingstaer/status/1572571344809639936,False,,1,https://pbs.twimg.com/media/FdLWV12aUAIrMxj.jpg,,,,,,,[],,,,
1572527811017191424,1572527811017191424,2022-09-21 10:07:00 UTC,2022-09-21,10:07:00,+0000,527080951,urbanasiacom,Urbanasia,,Polri membuka kemungkinan akan bekerja sama dengan pihak luar negeri untuk memburu sosok asli dari hacker Bjorka yang telah melakukan peretasan dan penyebaran data pribadi di Indonesia.   https://t.co/p2BVqVEjE2,in,[],['https://www.urbanasia.com/buru-hacker-bjorka-polri-bakal-kerja-sama-dengan-pihak-luar-negeri-U63789'],[],0,0,0,[],[],https://twitter.com/urbanasiacom/status/1572527811017191424,False,,0,,,,,,,,[],,,,
1572527427267723264,1572506456683065344,2022-09-21 10:05:29 UTC,2022-09-21,10:05:29,+0000,271180040,divijaya,Divi Jaya,,@peninata Nah data pribadi iso digawe doxing biasane,in,[],[],[],0,0,1,[],[],https://twitter.com/divijaya/status/1572527427267723264,False,,0,,,,,,,,"[{'screen_name': 'peninata', 'name': 'Peni Sriwahyu', 'id': '1105284319'}]",,,,
1572456294791139330,1572456294791139330,2022-09-21 05:22:50 UTC,2022-09-21,05:22:50,+0000,1466864736335663106,ashrafiswanto,Ashraf Iswanto,,"Penyalahgunaan Data Pribadi Pinjol hingga Doxing, 4 Catatan UU Pelindungan Data Pribadi  https://t.co/Eq8QcUwl8T",in,[],['https://nasional.kompas.com/read/2022/09/21/09512511/penyalahgunaan-data-pribadi-pinjol-hingga-doxing-4-catatan-uu-pelindungan?utm_source=Twitter&utm_medium=Refferal&utm_campaign=Sticky_Mobile'],[],0,0,0,[],[],https://twitter.com/AshrafIswanto/status/1572456294791139330,False,,0,,,,,,,,[],,,,
1572452327755513858,1572452327755513858,2022-09-21 05:07:04 UTC,2022-09-21,05:07:04,+0000,636278070,greypunch,Speedey,,"Nanya dong... bapak/ibu wartawan   Melanggar etik atau nggak sih, kalo bikin artikel/berita yg mengandung doxing data pribadi orang lain tanpa seijin yg bersangkutan?  🤔  @pwidakuswara @NajwaShihab @KentArockerss @PersatuanWarta1 @PokjaWartawanRI  _______",in,"[{'screen_name': 'pwidakuswara', 'name': 'patsy widakuswara', 'id': '61534021'}, {'screen_name': 'najwashihab', 'name': 'najwa shihab', 'id': '16912985'}, {'screen_name': 'kentarockerss', 'name': 'kang mas boy', 'id': '1360699897540829184'}, {'screen_name': 'persatuanwarta1', 'name': 'persatuan wartawan nasional', 'id': '1044427304481447937'}, {'screen_name': 'pokjawartawanri', 'name': 'pokja wartawan', 'id': '259707178'}]",[],[],0,0,1,[],[],https://twitter.com/greypunch/status/1572452327755513858,False,https://twitter.com/PawiAryati/status/1571404249313218560,0,,,,,,,,[],,,,
1572440619045490688,1572440619045490688,2022-09-21 04:20:32 UTC,2022-09-21,04:20:32,+0000,1430118516192014342,kipaskipas_ofc,kipaskipas_ID,,"Akhirnya UU Perlindungan Data Pribadi disahkan oleh DPR ya. Yang masih suka doxing, yakin masih mau doxing orang lain terus? #kipasgeneration #kipaskipasinaja #perlindungandatapribadi #DPR",in,[],[],[],0,0,0,"['kipasgeneration', 'kipaskipasinaja', 'perlindungandatapribadi', 'dpr']",[],https://twitter.com/Kipaskipas_ofc/status/1572440619045490688,False,,0,,,,,,,,[],,,,
1572410548972851200,1572410548972851200,2022-09-21 02:21:03 UTC,2022-09-21,02:21:03,+0000,1139033970530631680,arulpramudi,Arul Pramudi Utama,,"RUU Perlindungan Data Pribadi udah disahkan, ati ati yang suka doxing di twitter 😂   https://t.co/I9IosLIHzm",in,[],['https://news.detik.com/berita/d-6302589/isi-uu-perlindungan-data-pribadi-larangan-sanksi-dan-jenis-data'],[],3,0,1,[],[],https://twitter.com/ArulPramudi/status/1572410548972851200,False,,0,,,,,,,,[],,,,
1572264588439351296,1572251904843091969,2022-09-20 16:41:03 UTC,2022-09-20,16:41:03,+0000,1412781952193597443,everythingisfuk,Corleone,,"@SoundOfYogi Lu ga ngebela nat kan?   1.Kenapa pas bjorka doxing data pribadi mentri ga lu cekal dan malah hahahihi? , padahal bjorka itu udah bener"" kriminal.   2.Kenapa bahas doxing nya pas kasus nat dan ravine?, padahal ravine mencoba mengidentifikasi Nat karena dia  jelas"" meresahkan.",in,[],[],[],1,0,0,[],[],https://twitter.com/Everythingisfuk/status/1572264588439351296,False,,0,,,,,,,,"[{'screen_name': 'SoundOfYogi', 'name': 'Yogi Natasukma™', 'id': '93882850'}]",,,,
1572238899950530560,1572238899950530560,2022-09-20 14:58:59 UTC,2022-09-20,14:58:59,+0000,54556077,ntanglintang_,Lintang Gumilang,,"Banyak celah penyebaran data pribadi yang bisa dicuri dan disalahgunakan untuk kejahatan. Yuk jadi nasabah bijak, lindungi diri dari kejahatan siber! Selengkapnya:  https://t.co/bTBNMXO6eL @NasabahBijak #NasabahBijak #NasabahBijakBloggingCompetition #MemberiMaknaIndonesia",in,"[{'screen_name': 'nasabahbijak', 'name': 'nasabah bijak', 'id': '1510111462005800960'}]",['https://irisansenja.com/nasabah-bijak/'],[],0,0,0,"['nasabahbijak', 'nasabahbijakbloggingcompetition', 'memberimaknaindonesia']",[],https://twitter.com/ntanglintang_/status/1572238899950530560,False,,0,,,,,,,,[],,,,
